abject
extrajudicial
extraordinary
extravagant
extreme
extrinsical
extrinsick
exuberant
fabulous
facetious
factious
faint
fainthearted
fair
faithful
fallacious
false
familiar
famous
fanciful
fantastical
fantastick
fashionable
fastidious
fatal
faulty
favourable
favoured
fearful
fearless
feasible
feat
feateous
feeble
feeling
felicitous
fell
fertile
fervent
festinate
fickle
fictitious
fierce
fifth
filthy
final
fine
finical
finite
firm
fit
flashy
flat
fleet
flippant
fluent
foggy
foolish
foppish
forceful
forcible
forked
formal
former
formidable
fortuitous
fortunate
forward
foul
fourth
fragrant
frank
frantick
fraternal
fraudful
fraudulent
freakish
free
frequent
fresh
fretful
frightful
frigid
frivolous
frolick
frolicksome
frosty
frothy
froward
frugal
fruitful
fruitless
full
fulsome
fundamental
furious
future
gain
gainful
gallant
gamesome
gaudy
gaunt
gay
general
generical
generick
generous
genial
gent
genteel
gentle
genuine
geographical
geometrical
geometrick
giddy
girlish
glad
gladsome
glib
gloomy
glorious
gluttonous
golden
good
gorgeous
graceful
gracious
gradual
grammatical
graphical
grateful
gratuitous
grave
great
greedy
green
grievous
grim
gross
groundless
gruff
grum
guileful
guiltless
guilty
gymnastick
habitual
handsome
handy
happy
hard
harmful
harmless
harmonious
hateful
haughty
hazardous
healthful
healthy
heartless
hearty
heathenish
heavy
heedful
heedless
heinous
heliacal
hellish
helpless
hereditary
heretical
hermetical
hermetick
heroical
heroick
hideous
hieroglyphical
hieroglyphick
high
historical
historick
histrionical
histrionick
hoarse
hoggish
hollow
holy
homely
honest
honourable
hopeful
horizontal
horrible
hospitable
hot
huffish
huge
human
humane
humble
humorsome
hungry
hurtful
hurtless
hydrostatical
hyperbolical
hyperbolick
hypocritical
hypocritick
hypothetical
hypothetick
ideal
idle
idolatrous
ignoble
ignominious
ignorant
illaudable
illegal
illegitimate
illfavoured
illiberal
illimitable
illnatured
illogical
illustrative
illustrious
immaterial
immature
immeasurable
immediate
immense
immethodical
immoderate
immortal
immovable
immutable
impartial
impatient
impenetrable
impenitent
imperative
imperceptible
imperfect
imperious
impersonal
impertinent
impetuous
impious
implacable
implicit
impolitical
impolitick
importunate
importune
impotent
impregnable
improbable
improper
improsperous
improvable
improvident
impudent
impure
inactive
inadequate
inadvertent
inarticulate
inartificial
incautious
incessant
incestuous
incident
incidental
inclinatory
inclusive
incoherent
incommodious
incommunicable
incomparable
incompetent
incomprehensible
inconceivable
inconclusive
incongruous
inconsiderate
inconsistent
incontestable
incontinent
incontrovertible
inconvenient
inconvincible
incorporal
incorporeal
incorrect
incorrigible
incredible
inculpable
incurable
indecent
indefatigable
independent
indeterminate
indicative
indifferent
indirect
indiscernible
indiscreet
indiscriminate
indispensable
indisputable
indissoluble
indistinct
individual
indivisible
indolent
indubitable
indulgent
industrious
ineffable
ineffectual
inept
inerrable
inert
inevitable
inexcusable
inexpiable
inexplicable
inexpressible
inextricable
infallible
infamous
infectious
infinite
inflexible
ingenious
ingenuous
inglorious
inhospitable
inhuman
inimitable
injudicious
innocent
innocuous
innoxious
innumerable
inoffensive
inordinate
inquisitive
insatiable
insensible
inseparable
insidious
insignificant
insipid
insolent
instant
instantaneous
instinctive
instrumental
insufferable
insufficient
insuperable
insupportable
insurmountable
intelligible
intemperate
intense
intensive
intent
intentional
intentive
interchangeable
intermediate
internal
interpretative
interrogative
intimate
intolerable
intrepid
intricate
intrinsecal
intuitive
invariable
invective
invidious
invincible
inviolable
invisible
involuntary
inward
ireful
irksome
ironical
irrational
irreconcilable
irrecoverable
irrefragable
irregular
irreligious
irremediable
irreparable
irreprehensible
irreproachable
irresistible
irresolute
irrespective
irretrievable
irreverent
irreversible
irrevocable
jealous
jocose
jocund
joint
jolly
jovial
joyful
judicial
judicious
juridical
just
justifiable
kind
knavish
knowing
laborious
laconick
lamentable
languid
large
lascivious
lasting
late
latter
laudable
lavish
lawful
lawless
lazy
lean
learned
lecherous
legal
legitimate
leisurable
liberal
lifeless
light
like
lineal
listless
literal
litigious
live
lively
living
loath
lofty
logical
long
loose
loud
lousy
lovely
loving
low
lowly
loyal
ludicrous
lukewarm
lumpish
luscious
luskish
lustful
lusty
luxurious
mad
magick
magnanimous
magnificent
main
majestical
majestick
malapert
malecontented
malevolent
malicious
malign
malignant
manful
manifest
manifold
marvellous
masculine
material
mathematical
mathematick
matrimonial
mature
mean
measurable
mechanical
mechanick
mediate
medical
medicinal
meek
melodious
memorable
mental
merciful
merciless
mere
meretricious
meridional
meritorious
merry
methodical
metonymical
mettlesome
mighty
mild
mimical
mimick
mindful
ministerial
minute
miraculous
mischievous
miserable
mistrustful
moderate
modest
modish
monastical
monastick
monstrous
moral
morose
mortal
most
mother
mournful
moveable
muddy
multifarious
munificent
musical
musty
mute
mutinous
mutual
mysterious
mystical
mystick
mythological
naked
narrative
narrow
nasty
national
natural
naughty
nauseous
near
neat
necessary
needful
needy
negative
neglectful
negligent
neutral
new
nice
niggard
nigh
nimble
nitty
noble
noisome
nominal
notable
notional
notorious
noxious
numeral
numerical
obdurate
obedient
objective
obliging
oblique
oblong
obnoxious
obscene
obscure
obsequious
observable
obstinate
obstreperous
obtuse
obvious
occasional
ocular
odd
odious
offensive
officious
ominous
open
opinionative
opportune
opposite
opprobrious
opulent
oraculous
oral
orbicular
ordinary
organical
organick
original
ornamental
orthodox
orthographical
ostentatious
outer
outragious
outward
overt
overthwart
painful
pale
palpable
parabolical
parabolick
paradoxical
pardonable
parsimonious
partial
participial
particular
passionate
passive
pat
patient
patrimonial
peaceable
peaceful
peculiar
pedantic
pedantical
peevish
penitent
pensive
penurious
perceivable
perceptible
perdurable
peremptory
perfect
perfective
perfidious
perfunctory
perilous
periodical
periodick
permanent
permissive
pernicious
perpendicular
perpetual
personal
perspicuous
persuasive
pert
pertinacious
pertinent
perverse
pervicacious
pestilent
petitionary
petulant
philosophical
philosophick
physical
pious
piquant
piteous
pithy
pitiful
pitiless
placid
plaguy
plain
plausible
pleasant
plenary
plenteous
plentiful
plural
poetical
poetick
pointed
poisonous
polite
political
politick
pompous
ponderous
pontifical
poor
popish
popular
populous
positive
possible
potent
potential
powerful
practicable
practical
practick
pragmatical
pragmatick
precarious
precedent
precious
precipitant
precipitate
precise
preferable
pregnant
premature
preparative
preposterous
present
presentifick
presumptuous
preternatural
pretty
prevalent
preventive
previous
primary
prime
primitive
principal
prismatick
private
privative
privy
probable
problematical
prodigal
prodigious
profane
profitable
profligate
profound
profuse
progressive
proleptical
prolifical
prolifick
prolix
promiscuous
promissory
prompt
proper
prophetical
prophetick
propitious
proportionable
proportional
prosperous
proud
proverbial
provident
providential
provisional
proximate
prudent
prudential
publick
puissant
punctual
pure
pyramidical
quadripartite
quadruple
quaint
quarrelsome
queer
querimonious
querulous
quick
quiet
radical
rancorous
rank
rapacious
rapid
rare
rash
ratable
rational
ravenous
raw
ready
real
reasonable
rebellious
recent
reciprocal
rectangular
reductive
redundant
reflexive
refulgent
regardful
regardless
regular
relative
religious
remarkable
remiss
remote
reparable
reprehensible
reproachful
repugnant
reputable
requisite
reserved
resolute
respectful
respective
resplendent
restless
restrictive
revengeful
reverent
reverential
rhetorical
rich
ridiculous
rife
right
righteous
rightful
rigid
rigorous
riotous
ripe
roguish
rooted
rough
round
royal
rude
rueful
rugged
ruinous
rustical
rustick
ruthful
ruthless
sacramental
sacred
sacrilegious
sad
safe
sagacious
sage
salacious
saleable
salt
sarcastical
sarcastick
satirical
satirick
satisfactory
saucy
savage
saving
savoury
scandalous
scant
scanty
scarce
scenographical
schismatical
scholastical
scholastick
scientifical
scientifick
scornful
scrupulous
scurrilous
scurvy
seasonable
secondary
secret
secular
secure
sedate
seditious
sedulous
selfish
semblable
senseless
sensible
sensitive
sensual
sententious
separate
septentrional
serene
serious
servile
seventh
several
severe
sexangular
shabby
shallow
shamefaced
shameful
shameless
sharp
short
shrewd
shrewish
shy
sick
signal
significant
silent
silly
silver
simple
sincere
sinful
single
singular
sinistrous
sixth
skilful
skittish
slack
slanderous
slant
slavish
sleepy
slender
slight
slippery
slothful
slow
sluggish
sluttish
sly
small
smart
smug
smutty
snappish
sneaking
sober
sociable
soft
sole
solemn
solicitous
solid
solitary
sonorous
sophistical
sordid
sore
sorry
sottish
sound
sour
sovereign
spacious
sparing
special
specifical
specifick
specious
speculative
speedy
spherical
spherick
spiral
spiritual
spiteful
splendid
spontaneous
sportful
sprightful
spruce
squeamish
stale
stark
statutable
stayed
steadfast
steady
steep
stiff
still
stingy
stout
straight
strait
strange
strenuous
strict
strong
stubborn
studious
stupid
sturdy
sublime
submiss
submissive
subordinate
subsequent
substantial
substantive
subsultory
subtle
successful
successive
succinct
sudden
sufferable
sufficient
suitable
sullen
summary
sumptuous
superabundant
superb
supercilious
supereminent
superficial
superlative
supernatural
superstitious
supervacaneous
supine
supreme
sure
surly
surpassing
surprising
surreptitious
suspicious
swarthy
sweet
swift
swinging
syllabical
syllabick
syllogistical
syllogistick
symbolical
sympathetical
sympathetick
symptomatical
symptomatick
synodical
synodick
systematical
tardy
tart
techy
tedious
temperate
temporal
tenacious
tender
tenth
testy
thankful
theatrical
theatrick
theological
thick
thievish
thin
third
thorough
thoughtful
thoughtless
thrifty
tidy
tight
timorous
tolerable
topical
topping
total
touching
tractable
traditional
tragical
tragick
tragicomical
traitorous
tralatitious
transcendent
transient
transmutable
transversal
transverse
treacherous
treble
trifling
trim
tripping
triumphant
troublesome
true
tumultuary
tumultuous
tunable
turbulent
typographical
ugly
ultimate
unaccountable
unadvised
unaffected
unalterable
unanimous
unanswerable
unapt
unartful
unavoidable
unblamable
unbounded
uncertain
unchangeable
uncharitable
uncivil
uncomfortable
uncommon
unconcerned
unconfused
unconquerable
unconscionable
unconstrained
uncontroulable
uncontrouled
uncourteous
uncouth
undaunted
undeniable
understanding
undeserved
undiscerned
undiscernible
undistracted
undisturbed
undoubted
undue
undutiful
uneasy
unequal
unerring
unexpected
unfair
unfaithful
unfashionable
unfathomable
unfavourable
unfeigned
unfit
unfortunate
unfrequent
ungentle
ungodly
ungrateful
unhandsome
unhappy
unhurtful
uniform
unimaginable
unintelligible
uninterrupted
universal
univocal
unjust
unjustifiable
unkind
unknowing
unlawful
unlearned
unlike
unlimited
unlucky
unmerciful
unnatural
unnecessary
unpardonable
unpartial
unpassionate
unperceived
unphilosophical
unpleasant
unprofitable
unproper
unprosperous
unquestionable
unquiet
unreasonable
unremoveable
unreserved
unrighteous
unsafe
unseasonable
unserviceable
unskilful
unsociable
unspeakable
unsteady
unsuccessful
unsupportable
unthankful
unthrifty
untoward
untrue
unusual
unwarrantable
unwary
unwieldy
unwilling
unwise
unworthy
upright
urgent
useful
useless
usual
utter
uxorious
vain
valiant
valorous
variable
various
vast
vehement
vendible
venerable
venomous
venturous
verbal
veritable
vertical
very
vexatious
victorious
vigilant
vigorous
vile
villanous
violent
virtual
virtuous
virulent
visible
vital
vitious
vivid
vocal
voluminous
voluntary
voluptuous
voracious
vulgar
waggish
wanton
ware
warm
warrantable
wary
waspish
wasteful
watchful
wayward
weak
wealthy
wearisome
weighty
whole
wholesome
whorish
wicked
wide
wight
wild
wilful
willing
wily
wise
wishful
wistful
witty
woful
wonderful
wondrous
worshipful
worthy
wrathful
wretched
wrong
wrongful
yare
young
youthful
zealous
